movie_id,title,genre,director,year,duration_min,avg_rating,user_id,user_rating
1,Movie 1,Thriller,Director 359,1981,170,4.9,835,2.8
2,Movie 2,Horror,Director 91,2022,177,1.5,312,2.6
3,Movie 3,Sci-Fi,Director 346,1993,90,2.3,808,4.3
4,Movie 4,Thriller,Director 206,2001,80,4.2,765,2.5
5,Movie 5,Drama,Director 17,2010,92,2.1,669,1.3
6,Movie 6,Sci-Fi,Director 274,2002,109,1.9,134,1.3
7,Movie 7,Sci-Fi,Director 173,1999,148,4.3,948,1.2
8,Movie 8,Thriller,Director 116,2017,97,4.9,129,2.6
9,Movie 9,Comedy,Director 349,1983,157,3.2,436,3.9
10,Movie 10,Drama,Director 468,1994,92,2.1,280,1.8
11,Movie 11,Thriller,Director 181,2003,111,2.6,358,3.6
12,Movie 12,Drama,Director 91,2004,150,1.7,930,3.7
13,Movie 13,Drama,Director 82,1980,151,4.0,883,2.0
14,Movie 14,Sci-Fi,Director 324,1986,129,4.1,252,3.4
15,Movie 15,Horror,Director 449,2010,150,4.5,135,3.7
16,Movie 16,Drama,Director 114,1991,159,1.1,843,2.9
17,Movie 17,Romance,Director 257,2021,110,3.2,523,2.3
18,Movie 18,Sci-Fi,Director 58,1984,130,1.9,804,3.5
19,Movie 19,Comedy,Director 154,2023,106,2.4,660,4.9
20,Movie 20,Horror,Director 365,2021,139,4.1,319,2.7
21,Movie 21,Romance,Director 404,2017,112,1.8,80,2.6
22,Movie 22,Romance,Director 116,1991,132,3.6,191,2.9
23,Movie 23,Comedy,Director 343,2018,172,3.6,453,1.3
24,Movie 24,Horror,Director 266,1997,151,4.8,344,3.2
25,Movie 25,Sci-Fi,Director 315,1981,112,4.1,30,2.3
26,Movie 26,Action,Director 203,1989,120,4.2,414,1.5
27,Movie 27,Horror,Director 41,1994,98,3.1,871,2.9
28,Movie 28,Comedy,Director 105,2009,164,1.7,368,1.0
29,Movie 29,Romance,Director 389,2023,120,2.7,741,2.6
30,Movie 30,Sci-Fi,Director 378,1996,164,3.2,993,1.4
31,Movie 31,Horror,Director 193,1983,168,3.7,596,1.1
32,Movie 32,Action,Director 401,1986,121,3.4,502,4.3
33,Movie 33,Action,Director 278,2020,102,2.6,662,4.7
34,Movie 34,Drama,Director 354,2010,154,2.1,873,1.8
35,Movie 35,Drama,Director 237,2018,112,1.7,701,3.2
36,Movie 36,Thriller,Director 425,2013,99,3.8,21,2.1
37,Movie 37,Comedy,Director 221,1985,104,3.6,549,3.0
38,Movie 38,Horror,Director 68,2017,169,3.7,246,2.7
39,Movie 39,Horror,Director 197,2024,131,2.5,283,2.1
40,Movie 40,Thriller,Director 256,2013,91,2.0,614,3.8
41,Movie 41,Romance,Director 139,2023,111,4.0,931,1.5
42,Movie 42,Romance,Director 312,1994,112,4.1,806,1.2
43,Movie 43,Thriller,Director 435,1993,153,2.8,232,4.1
44,Movie 44,Romance,Director 149,1985,147,3.4,316,3.7
45,Movie 45,Drama,Director 99,2016,94,2.5,838,3.0
46,Movie 46,Horror,Director 76,2011,130,3.8,800,2.9
47,Movie 47,Thriller,Director 282,1982,85,4.3,336,3.0
48,Movie 48,Horror,Director 371,1982,170,3.8,988,2.7
49,Movie 49,Action,Director 403,2001,148,3.1,976,2.6
50,Movie 50,Drama,Director 109,2001,148,2.8,411,3.0
51,Movie 51,Sci-Fi,Director 188,1989,161,3.6,245,3.1
52,Movie 52,Drama,Director 199,1982,171,3.7,387,3.8
53,Movie 53,Thriller,Director 303,1991,114,3.2,689,3.8
54,Movie 54,Sci-Fi,Director 327,2008,165,3.5,725,2.5
55,Movie 55,Action,Director 154,1996,113,1.4,358,2.7
56,Movie 56,Thriller,Director 40,1986,142,4.8,614,2.5
57,Movie 57,Comedy,Director 133,1992,147,4.2,798,3.1
58,Movie 58,Horror,Director 405,1981,97,2.5,22,2.8
59,Movie 59,Action,Director 462,1983,105,3.3,19,4.6
60,Movie 60,Horror,Director 132,1989,165,1.2,287,3.8
61,Movie 61,Romance,Director 279,2018,176,1.2,276,4.6
62,Movie 62,Comedy,Director 362,2003,140,2.0,659,3.8
63,Movie 63,Comedy,Director 84,1996,157,3.8,898,4.9
64,Movie 64,Action,Director 399,1985,174,4.4,552,3.5
65,Movie 65,Comedy,Director 242,1998,153,3.2,679,4.9
66,Movie 66,Sci-Fi,Director 116,1984,167,3.1,603,1.6
67,Movie 67,Comedy,Director 109,2011,164,2.6,72,1.2
68,Movie 68,Horror,Director 221,1989,127,1.6,365,3.3
69,Movie 69,Horror,Director 392,1988,151,1.5,950,4.9
70,Movie 70,Thriller,Director 41,2006,175,4.0,795,2.7
71,Movie 71,Horror,Director 368,1992,110,4.7,335,1.8
72,Movie 72,Thriller,Director 147,1998,113,2.8,652,3.1
73,Movie 73,Horror,Director 112,2000,166,3.6,751,3.6
74,Movie 74,Sci-Fi,Director 103,2003,168,4.7,590,2.3
75,Movie 75,Thriller,Director 46,2017,86,1.4,199,3.9
76,Movie 76,Drama,Director 412,1983,162,4.1,17,4.9
77,Movie 77,Romance,Director 494,2003,86,3.5,218,4.6
78,Movie 78,Action,Director 475,2014,126,3.4,741,2.2
79,Movie 79,Horror,Director 324,1982,87,2.2,852,2.3
80,Movie 80,Comedy,Director 378,1983,157,3.7,650,2.5
81,Movie 81,Horror,Director 271,2016,80,4.2,147,2.6
82,Movie 82,Comedy,Director 483,2019,156,1.5,210,1.4
83,Movie 83,Romance,Director 421,2014,82,3.1,670,4.0
84,Movie 84,Romance,Director 385,2010,132,1.4,414,2.5
85,Movie 85,Romance,Director 195,2023,171,4.5,665,4.5
86,Movie 86,Comedy,Director 367,2004,117,3.0,856,4.7
87,Movie 87,Horror,Director 280,2019,130,4.2,330,1.1
88,Movie 88,Romance,Director 283,1992,94,2.5,895,5.0
89,Movie 89,Sci-Fi,Director 40,1983,179,1.5,962,3.8
90,Movie 90,Thriller,Director 447,1993,146,1.2,870,3.1
91,Movie 91,Comedy,Director 189,1992,143,2.1,352,2.6
92,Movie 92,Comedy,Director 164,2006,147,2.0,163,3.1
93,Movie 93,Horror,Director 482,1985,84,3.2,819,2.3
94,Movie 94,Comedy,Director 477,1996,169,1.1,101,3.5
95,Movie 95,Comedy,Director 24,2015,168,3.1,327,1.4
96,Movie 96,Romance,Director 24,2019,89,2.6,327,3.5
97,Movie 97,Horror,Director 490,2014,87,3.3,155,2.1
98,Movie 98,Romance,Director 4,1996,91,3.8,10,1.1
99,Movie 99,Thriller,Director 323,2020,143,3.5,353,3.2
100,Movie 100,Thriller,Director 290,1981,138,4.9,939,3.3
101,Movie 101,Romance,Director 441,1992,146,1.6,183,2.7
102,Movie 102,Thriller,Director 433,1981,170,2.7,455,1.3
103,Movie 103,Horror,Director 471,2007,129,2.7,646,4.6
104,Movie 104,Action,Director 181,2022,102,2.7,6,3.4
105,Movie 105,Romance,Director 248,2005,119,3.7,333,1.5
106,Movie 106,Sci-Fi,Director 116,2001,176,3.0,944,3.0
107,Movie 107,Sci-Fi,Director 279,2022,157,3.1,333,3.0
108,Movie 108,Comedy,Director 365,1982,166,2.7,258,1.2
109,Movie 109,Thriller,Director 69,2014,174,5.0,211,3.4
110,Movie 110,Sci-Fi,Director 351,1991,156,4.7,51,4.2
111,Movie 111,Comedy,Director 254,2003,155,2.2,445,4.0
112,Movie 112,Action,Director 181,1984,178,1.4,659,1.8
113,Movie 113,Horror,Director 318,1999,97,4.4,377,4.4
114,Movie 114,Horror,Director 169,2018,100,5.0,640,2.4
115,Movie 115,Horror,Director 313,2018,80,2.2,486,4.8
116,Movie 116,Sci-Fi,Director 249,1992,117,2.4,770,1.3
117,Movie 117,Action,Director 188,2020,120,4.8,51,2.9
118,Movie 118,Sci-Fi,Director 54,2024,121,3.8,154,3.4
119,Movie 119,Thriller,Director 326,1991,88,2.2,582,2.0
120,Movie 120,Sci-Fi,Director 357,1992,102,3.3,788,4.1
121,Movie 121,Action,Director 313,1989,157,4.8,791,3.5
122,Movie 122,Action,Director 138,2012,90,4.2,310,1.1
123,Movie 123,Thriller,Director 168,2019,150,4.0,399,3.4
124,Movie 124,Action,Director 391,1995,110,3.9,134,3.0
125,Movie 125,Action,Director 103,2024,167,1.7,220,1.8
126,Movie 126,Horror,Director 422,2014,105,4.3,163,5.0
127,Movie 127,Thriller,Director 85,1982,109,2.1,971,4.6
128,Movie 128,Drama,Director 317,1984,113,4.7,648,2.2
129,Movie 129,Drama,Director 212,2005,125,2.5,569,3.2
130,Movie 130,Action,Director 3,1990,148,4.4,502,2.3
131,Movie 131,Drama,Director 384,1986,84,2.1,946,4.1
132,Movie 132,Drama,Director 179,1989,140,3.1,689,4.7
133,Movie 133,Action,Director 342,2021,162,1.4,115,2.4
134,Movie 134,Drama,Director 303,2013,117,3.6,499,4.2
135,Movie 135,Sci-Fi,Director 452,1982,107,4.3,472,3.0
136,Movie 136,Comedy,Director 476,1987,105,3.9,149,2.6
137,Movie 137,Thriller,Director 332,2010,140,3.1,241,4.8
138,Movie 138,Comedy,Director 38,1990,102,1.2,123,3.0
139,Movie 139,Action,Director 499,2024,125,4.7,804,2.9
140,Movie 140,Horror,Director 420,1986,109,3.8,839,3.7
141,Movie 141,Thriller,Director 239,2024,146,4.0,69,2.0
142,Movie 142,Action,Director 169,1981,171,4.2,826,2.3
143,Movie 143,Horror,Director 453,1985,112,4.0,63,4.7
144,Movie 144,Comedy,Director 397,2020,82,2.8,733,3.7
145,Movie 145,Action,Director 343,2011,148,3.9,16,4.3
146,Movie 146,Thriller,Director 314,1999,162,3.5,390,2.1
147,Movie 147,Thriller,Director 306,2013,121,4.4,590,3.2
148,Movie 148,Romance,Director 30,1995,141,4.2,634,4.9
149,Movie 149,Sci-Fi,Director 190,2004,137,1.2,948,2.3
150,Movie 150,Drama,Director 357,1991,136,2.5,258,1.6
151,Movie 151,Horror,Director 25,1986,80,1.1,217,3.0
152,Movie 152,Romance,Director 112,2018,152,1.4,479,2.6
153,Movie 153,Drama,Director 411,1996,139,3.4,114,1.6
154,Movie 154,Drama,Director 435,2024,148,4.5,882,4.6
155,Movie 155,Action,Director 206,1990,138,1.5,973,5.0
156,Movie 156,Drama,Director 185,1985,125,2.8,380,3.3
